"date","raisin","simone","gagne","std"
2018-08-12,"19 12","10 14","10 10",NA
2018-08-19,"20 03","11 02","10 12","20 15.8"
2018-08-22,"20 04","11 04","10 13","20 15.6"
2018-08-24,"19 13","11 04","11 01","20 15.6"
2018-08-27,"19 06","10 08","10 06","20 15.6"
2018-08-28,NA,NA,NA,NA
2018-08-29,"19 06","11 00","11 01","20 15.6"
2018-08-30,NA,NA,NA,NA
2018-08-31,"19 09","11 00","10 12","20 15.6"
2018-09-01,NA,NA,NA,NA
2018-09-02,"19 10","10 13","10 10","20 15.6"
2018-09-03,"19 08","10 15","10 13","20 15.6"
2018-09-04,"19 09","11 00","10 15","20 15.6"
2018-09-05,"19 08","11 02","11 00","20 15.6"
2018-09-06,"19 07","11 00","10 11","20 15.6"
2018-09-07,"19 06","11 01","11 02","20 15.6"
2018-09-08,"19 07","11 04","10 15","20 15.6"
2018-09-09,"19 08","11 02","10 13","20 15.6"
2018-09-10,"19 07","11 02","10 13","20 15.6"
2018-09-11,"19 08","10 15","11 00","20 15.6"
2018-09-12,"19 08","11 01","11 00","20 15.6"
2018-09-13,"19 07","11 03","11 00","20 15.6"
2018-09-14,"19 10","11 01","11 01","20 15.6"
2018-09-15,"19 08",NA,NA,"20 15.6"
2018-09-16,"19 09","11 00","11 01","20 15.6"
2018-10-01,"19 00","10 04","10 04",NA
2018-10-02,"19 06","11 00","10 12","20 15.6"
2018-10-03,"19 00","10 10","10 03","20 15.6"
2018-10-04,"18 15","10 09","10 04","20 15.6"
2018-10-09,"19 10","10 10","10 11","20 15.6"
2018-10-10,"19 02","10 11","10 11","20 15.6"
2018-10-11,"19 02","10 11","10 09","20 15.6"
2018-10-12,"19 01","10 10","10 11","20 15.6"
2018-10-13,"19 05","10 09","10 11","20 15.6"
2018-10-14,"19 01","10 09","10 11","20 15.6"
2018-10-15,"19 04",NA,NA,NA
2018-10-16,"18 13","10 11","10 11","20 15.6"
2018-10-17,"18 15","10 13","10 13","20 15.6"
2018-10-18,"18 14","10 12","10 13","20 15.6"
2018-10-22,"18 10","10 04","10 05",NA
2018-10-23,"18 08","10 08","10 08","20 15.6"
2018-10-24,"18 07","10 12","10 09","20 15.6"
2018-10-25,"18 07","10 08","10 09",NA
2018-10-26,"18 08","10 08","10 11",NA
2018-10-27,"18 10","10 09","10 12",NA
2018-10-28,"18 06","10 09","10 12",NA
2018-10-29,"18 09","10 08","10 10",NA
2018-10-30,"18 08","10 09","10 10",NA
2018-10-31,"18 07","10 10","10 12","20 15.6"
2018-11-01,"18 07","10 08","10 11",NA
2018-11-02,"18 06","10 06","10 09",NA
2018-11-04,"18 11","10 11","10 13",NA
